Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301223;Communauté de communes du Grand Cubzaguais;5;Non;Non;Non;1;Non;33018;Val de Virvée;Commune;200058071;33018;VAL-DE-VIRVEE;Dépenses d'équipement;780985.66;0.0;0.0;780985.66;0.78098566;3748;208.37397545357524;1;;;;;;;;2;;;2024;3748
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043974;Communauté de communes du Sud Gironde;3;Oui;Non;Non;1;Non;33106;Castets et Castillon;Commune;200064301;33106;CASTETS-ET-CASTILLON;Dépenses d'équipement;974541.96;0.0;0.0;974541.96;0.9745419599999999;1545;630.7714951456311;1;;;;;;;;2;;;2024;1545
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301447;Communauté de communes Médoc Estuaire;4;Non;Non;Non;2;Non;33268;Margaux-Cantenac;Commune;200068013;33268;MARGAUX-CANTENAC;Dépenses d'équipement;867953.66;0.0;0.0;867953.66;0.8679536600000001;2861;303.3742257951765;1;;;;;;;;2;;;2024;2861
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;3;Oui;Non;Oui;1;Non;33008;Porte-de-Benauge;Commune;200083772;33008;PORTE-DE-BENAUGE;Dépenses d'équipement;29786.48;0.0;0.0;29786.48;0.02978648;508;58.6348031496063;1;;;;;;;;2;;;2024;508
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069995;Communauté de communes Médoc Cœur de Presqu'île;2;Oui;Non;Non;1;Non;33055;Blaignan-Prignac;Commune;200083780;33055;BLAIGNAN-PRIGNAC;Dépenses d'équipement;156852.45;0.0;0.0;156852.45;0.15685245;463;338.7741900647948;1;;;;;;;;2;;;2024;463
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300811;Communauté de communes de l'Estuaire;3;Oui;Non;Non;1;Non;33380;Val-de-Livenne;Commune;200083830;33380;VAL DE LIVENNE;Dépenses d'équipement;291461.24;5749.5;0.0;297210.74;0.29721074;1816;163.66230176211454;1;;;;;;;;2;;;2024;1816
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200070092;Communauté d'agglomération du Libournais;4;Oui;Non;Non;1;Non;33001;Abzac;Commune;213300015;33001;ABZAC;Dépenses d'équipement;331189.19;8407.41;0.0;339596.6;0.33959659999999997;2038;166.6322865554465;1;;;;;;;;2;;;2024;2038
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;3;Oui;Non;Non;1;Non;33002;Aillas;Commune;213300023;33002;AILLAS;Dépenses d'équipement;82882.42;0.0;0.0;82882.42;0.08288242;838;98.90503579952266;1;;;;;;;;2;;;2024;838
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;7;Non;Non;Non;1;Non;33003;Ambarès-et-Lagrave;Commune;213300031;33003;AMBARES-ET-LAGRAVE;Dépenses d'équipement;3799228.63;0.0;0.0;3799228.63;3.79922863;16963;223.97150445086365;1;;;;;;;;2;;;2024;16963
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;4;Non;Non;Non;1;Non;33004;Ambès;Commune;213300049;33004;AMBES;Dépenses d'équipement;436819.32;0.0;0.0;436819.32;0.43681932;3230;135.23817956656347;1;;;;;;;;2;;;2024;3230
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301504;Communauté d'agglomération du Bassin d'Arcachon Nord;7;Non;Non;Oui;3;Non;33005;Andernos-les-Bains;Commune;213300056;33005;ANDERNOS-LES-BAINS;Dépenses d'équipement;8860408.71;2301587.62;0.0;11161996.33;11.161996330000001;12746;875.7254299388044;1;;;;;;;;2;;;2024;12746
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300811;Communauté de communes de l'Estuaire;3;Oui;Non;Non;1;Non;33006;Anglade;Commune;213300064;33006;ANGLADE;Dépenses d'équipement;25233.86;0.0;0.0;25233.86;0.02523386;918;27.487864923747278;1;;;;;;;;2;;;2024;918
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069581;Communauté de communes Convergence Garonne;3;Non;Non;Non;2;Non;33007;Arbanats;Commune;213300072;33007;ARBANATS;Dépenses d'équipement;1425762.67;0.0;0.0;1425762.67;1.42576267;1366;1043.7501244509517;1;;;;;;;;2;;;2024;1366
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300563;Communauté d'agglomération Bassin d'Arcachon Sud (COBAS);7;Non;Non;Oui;4;Non;33009;Arcachon;Commune;213300098;33009;ARCACHON;Dépenses d'équipement;14695778.76;331819.98;0.0;15027598.74;15.02759874;11579;1297.8321737628467;1;;;;;;;;2;;;2024;11579
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301447;Communauté de communes Médoc Estuaire;3;Oui;Non;Non;2;Non;33010;Arcins;Commune;213300106;33010;ARCINS;Dépenses d'équipement;380549.57;0.0;0.0;380549.57;0.38054957;553;688.1547377938517;1;;;;;;;;2;;;2024;553
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301504;Communauté d'agglomération du Bassin d'Arcachon Nord;6;Non;Non;Oui;3;Non;33011;Arès;Commune;213300114;33011;ARES;Dépenses d'équipement;2025267.28;15785.34;0.0;2041052.62;2.0410526200000003;6567;310.8044190650221;1;;;;;;;;2;;;2024;6567
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301447;Communauté de communes Médoc Estuaire;5;Non;Non;Non;2;Non;33012;Arsac;Commune;213300122;33012;ARSAC;Dépenses d'équipement;1177039.13;0.0;0.0;1177039.13;1.1770391299999998;4018;292.94154554504723;1;;;;;;;;2;;;2024;4018
